Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Total Value,Price per Unit (sold),Approx. Total Revenue(INR),Production Date,Expiration Date
Delhi,722.24,75,Medium,2020-05-12,2,Cheese,LocalFarm,502.51,51.34,16,Frozen,135,Kolkata,Retail,59,69,69,25798.863400000002,50.29018286527159,6789.174686811664,2020-05-11,2020-05-27
Chennai,150.9,86,Large,2019-02-17,7,Cheese,Nestle,506.13,59.76,58,Frozen,895,Chennai,Online,455,67,145,30246.3288,61.005236788384,54599.68692560368,2019-02-16,2019-04-15
Chennai,787.08,96,Medium,2021-02-08,5,Milk,Nestle,636.5,34.7,28,Frozen,533,Chennai,Retail,336,62,167,22086.550000000003,33.260351046002285,17727.76710751922,2021-02-07,2021-03-07
Mumbai,817.56,34,Large,2020-10-12,7,Paneer,Nestle,508.73,40.92,41,Frozen,32,Kolkata,Online,245,33,55,20817.231600000003,41.095931539357686,1315.069809259446,2020-10-11,2020-11-21
Mumbai,779.38,101,Medium,2022-04-10,1,Butter,Amul,974.4,28.92,36,Ambient,296,Bangalore,Retail,298,63,72,28179.648,29.992862394103238,8877.887268654558,2022-04-06,2022-05-12
Mumbai,158.27,67,Medium,2020-09-04,10,Curd,Mother Dairy,326.75,51.44,23,Ambient,271,Kolkata,Retail,213,47,100,16808.02,53.201909148493094,14417.717379241629,2020-08-31,2020-09-23
Mumbai,661.71,84,Small,2020-11-29,9,Cheese,LocalFarm,880.13,99.32,33,Ambient,247,Bangalore,Wholesale,81,80,141,87414.5116,96.36865992930193,23803.059002537575,2020-11-28,2020-12-31
Bangalore,842.61,42,Large,2022-08-31,1,Butter,Nestle,145.31,42.64,42,Frozen,165,Kolkata,Retail,346,57,144,6196.0184,42.7814174606927,7058.933881014295,2022-08-30,2022-10-11
Kolkata,598.49,97,Large,2020-01-11,5,Curd,LocalFarm,621.82,68.8,53,Cold,236,Bangalore,Online,63,90,108,42781.216,68.10141172696918,16071.933167564724,2020-01-09,2020-03-02
Delhi,664.09,75,Medium,2021-03-16,8,Curd,Amul,665.91,67.23,33,Cold,768,Bangalore,Online,257,94,91,44769.1293,67.6391322508147,51946.85356862569,2021-03-12,2021-04-14
Chennai,485.45,39,Small,2021-07-09,1,Cheese,Amul,783.62,80.78,23,Frozen,313,Delhi,Online,256,52,139,63300.8236,77.347438472693,24209.748241952908,2021-07-06,2021-07-29
Bangalore,552.27,90,Small,2021-05-24,7,Butter,LocalFarm,527.87,74.07,24,Ambient,787,Delhi,Wholesale,117,86,74,39099.33089999999,77.6354012536553,61099.060786626724,2021-05-22,2021-06-15
Delhi,82.66,113,Large,2023-04-06,2,Curd,Nestle,237.36,11.06,57,Cold,300,Chennai,Wholesale,319,41,159,2625.2016000000003,11.130246969389892,3339.074090816968,2023-04-02,2023-05-29
Bangalore,657.01,43,Large,2021-03-20,7,Cheese,LocalFarm,400.55,37.83,7,Cold,185,Kolkata,Online,488,32,123,15152.8065,36.38977275469197,6732.107959618014,2021-03-16,2021-03-23
Bangalore,127.37,111,Medium,2022-12-14,7,Butter,Nestle,308.55,88.32,44,Ambient,162,Bangalore,Retail,327,25,76,27251.136,89.57651470261789,14511.395381824097,2022-12-11,2023-01-24
Chennai,463.26,95,Large,2021-06-23,9,Butter,Nestle,448.15,58.56,9,Frozen,517,Delhi,Wholesale,340,83,96,26243.664,55.67717019598088,28785.096991322112,2021-06-21,2021-06-30
Kolkata,328.02,78,Medium,2022-11-20,6,Cheese,Amul,553.47,19.38,27,Frozen,769,Chennai,Retail,23,73,58,10726.2486,18.423533185959705,14167.697020003014,2022-11-17,2022-12-14
Mumbai,568.16,57,Small,2023-03-26,4,Butter,LocalFarm,643.82,34.85,9,Frozen,503,Chennai,Wholesale,385,62,54,22437.127000000004,33.73182579161851,16967.10837318411,2023-03-23,2023-04-01
Kolkata,176.75,49,Large,2022-04-25,7,Paneer,Amul,852.87,35.5,34,Frozen,432,Chennai,Wholesale,235,74,139,30276.885,34.686797325924175,14984.696444799243,2022-04-23,2022-05-27
Chennai,707.06,60,Small,2021-10-02,7,Curd,Mother Dairy,914.51,88.59,36,Frozen,116,Delhi,Wholesale,314,47,33,81016.4409,86.49183841461853,10033.053256095749,2021-10-01,2021-11-06
Chennai,805.26,89,Small,2023-07-27,4,Curd,Amul,489.45,59.81,28,Cold,723,Mumbai,Wholesale,101,77,98,29274.0045,59.47010973067185,42996.88933527575,2023-07-24,2023-08-21
Chennai,205.19,22,Medium,2019-02-02,2,Butter,Nestle,134.24,64.75,53,Ambient,307,Chennai,Online,475,34,92,8692.04,64.83543556679771,19904.478719006896,2019-01-29,2019-03-23
Delhi,149.1,99,Small,2019-03-10,9,Cheese,LocalFarm,807.21,43.04,55,Cold,574,Mumbai,Wholesale,417,43,35,34742.318400000004,42.70494120957336,24512.63625429511,2019-03-08,2019-05-02
Kolkata,188.24,40,Medium,2020-08-14,8,Milk,Mother Dairy,503.3,15.43,55,Cold,288,Mumbai,Wholesale,311,81,112,7765.919,15.235410276651256,4387.798159675562,2020-08-11,2020-10-05
Kolkata,883.27,48,Medium,2022-04-29,5,Butter,Mother Dairy,569.12,16.77,46,Cold,228,Mumbai,Online,459,84,47,9544.1424,17.055324569280515,3888.6140017959574,2022-04-25,2022-06-10
Bangalore,551.78,72,Small,2019-04-11,5,Milk,Mother Dairy,616.0,47.83,39,Ambient,865,Chennai,Online,369,45,145,29463.28,46.62629600164692,40331.74604142459,2019-04-10,2019-05-19
Bangalore,493.9,57,Small,2023-02-17,1,Butter,Mother Dairy,684.47,25.97,36,Cold,556,Bangalore,Online,4,80,131,17775.6859,26.301913547241238,14623.863932266127,2023-02-13,2023-03-21
Bangalore,151.38,96,Medium,2022-08-01,9,Milk,LocalFarm,895.6,19.38,58,Cold,324,Mumbai,Online,108,20,65,17356.728,20.265021692361977,6565.86702832528,2022-07-29,2022-09-25
Chennai,667.08,57,Medium,2021-07-02,10,Butter,Nestle,954.54,33.6,49,Frozen,107,Delhi,Retail,379,65,105,32072.544,33.50515793306999,3585.051898838489,2021-06-28,2021-08-16
Kolkata,874.6,70,Small,2021-01-02,8,Cheese,Mother Dairy,943.16,76.78,52,Ambient,139,Delhi,Online,182,20,117,72415.8248,76.86597532666732,10684.370570406758,2021-01-01,2021-02-22
Chennai,836.78,21,Medium,2020-01-25,5,Milk,Nestle,818.99,16.57,48,Frozen,244,Mumbai,Online,118,70,187,13570.6643,16.948257838204245,4135.3749125218355,2020-01-21,2020-03-09
Delhi,644.75,87,Medium,2023-05-08,10,Paneer,Amul,894.78,50.34,26,Frozen,155,Mumbai,Online,291,55,171,45043.2252,50.377230409216594,7808.470713428572,2023-05-04,2023-05-30
Bangalore,121.51,65,Large,2019-06-09,6,Cheese,Nestle,97.17,84.35,25,Cold,782,Mumbai,Retail,327,88,68,8196.289499999999,81.34635981219013,63612.85337313268,2019-06-05,2019-06-30
Chennai,156.78,27,Large,2021-06-10,10,Butter,Mother Dairy,856.66,34.11,32,Frozen,742,Delhi,Online,349,88,159,29220.672599999998,34.48760910441048,25589.805955472577,2021-06-07,2021-07-09
Chennai,96.84,36,Large,2023-04-27,10,Milk,Amul,118.65,37.17,53,Cold,401,Kolkata,Retail,182,85,151,4410.2205,37.20261096649755,14918.246997565519,2023-04-26,2023-06-18
Delhi,294.61,37,Large,2021-12-06,8,Curd,Amul,758.88,89.58,38,Frozen,30,Bangalore,Wholesale,137,94,63,67980.47039999999,93.62432695112,2808.7298085335997,2021-12-03,2022-01-10
Mumbai,178.88,91,Large,2022-03-28,6,Cheese,Amul,210.9,68.5,20,Ambient,458,Kolkata,Retail,84,49,87,14446.65,65.71207357495072,30096.12969732743,2022-03-27,2022-04-16
Kolkata,297.05,89,Medium,2023-01-09,10,Milk,Mother Dairy,392.1,81.79,15,Ambient,29,Delhi,Online,173,27,146,32069.859000000004,82.08827456135664,2380.5599622793425,2023-01-06,2023-01-21
Mumbai,415.81,61,Medium,2020-11-26,4,Cheese,Nestle,224.97,36.03,37,Frozen,334,Delhi,Retail,51,21,129,8105.6691,36.45130214857657,12174.734917624575,2020-11-24,2020-12-31
Bangalore,945.83,25,Large,2021-01-27,3,Milk,LocalFarm,471.29,99.71,48,Cold,84,Chennai,Retail,445,44,145,46992.325899999996,100.90546552089657,8476.059103755311,2021-01-24,2021-03-13
Chennai,629.86,86,Small,2020-06-06,7,Curd,Nestle,441.16,22.68,42,Cold,611,Kolkata,Retail,225,38,192,10005.5088,21.6814012383573,13247.33615663631,2020-06-05,2020-07-17
Delhi,843.23,67,Large,2023-08-17,2,Paneer,Mother Dairy,95.66,96.57,23,Cold,487,Mumbai,Retail,225,90,63,9237.886199999999,94.90736125442298,46219.884930903994,2023-08-13,2023-09-05
Delhi,724.83,102,Small,2021-01-01,7,Curd,Mother Dairy,838.97,91.19,32,Frozen,623,Mumbai,Retail,131,33,154,76505.6743,89.02462948642129,55462.344170040466,2020-12-31,2021-02-01
Kolkata,156.88,18,Medium,2019-06-04,1,Butter,Amul,861.48,59.67,33,Cold,664,Delhi,Retail,183,23,131,51404.511600000005,60.74398220213468,40334.00418221743,2019-06-01,2019-07-04
Mumbai,749.12,35,Small,2019-12-05,10,Cheese,Nestle,798.13,62.68,41,Frozen,643,Chennai,Retail,266,65,165,50026.7884,64.15556354280793,41252.027358025494,2019-12-02,2020-01-12
Kolkata,311.34,37,Medium,2022-10-20,5,Paneer,Mother Dairy,855.23,79.75,58,Ambient,214,Kolkata,Retail,469,52,72,68204.5925,77.43142342361145,16570.32461265285,2022-10-17,2022-12-14
Chennai,657.15,114,Small,2021-03-05,9,Cheese,Mother Dairy,763.34,37.61,57,Cold,433,Chennai,Wholesale,104,56,92,28709.2174,38.83638837109272,16816.156164683147,2021-03-04,2021-04-30
Kolkata,373.91,86,Medium,2023-09-19,1,Milk,LocalFarm,940.61,57.47,7,Frozen,618,Bangalore,Wholesale,177,49,144,54056.8567,57.38398958263796,35463.30556207026,2023-09-15,2023-09-22
Delhi,997.79,45,Medium,2023-05-17,8,Butter,Nestle,597.57,91.21,22,Cold,693,Chennai,Online,188,97,123,54504.3597,89.0479657116358,61710.240238163606,2023-05-15,2023-06-06
Delhi,300.37,18,Large,2022-03-17,9,Butter,Amul,603.51,16.14,22,Frozen,879,Bangalore,Online,150,46,140,9740.6514,15.816801404475378,13902.968434533857,2022-03-15,2022-04-06
Bangalore,315.17,56,Medium,2021-06-17,9,Cheese,Amul,866.91,91.5,16,Cold,20,Kolkata,Online,381,32,49,79322.265,89.33636596952162,1786.7273193904325,2021-06-13,2021-06-29
Bangalore,934.14,87,Large,2022-03-13,8,Butter,Amul,381.94,75.59,22,Ambient,387,Mumbai,Online,112,90,113,28870.8446,76.37947550621605,29558.857020905612,2022-03-11,2022-04-02
Chennai,73.41,60,Large,2019-04-13,4,Cheese,Nestle,97.58,79.29,36,Frozen,650,Bangalore,Online,481,57,113,7737.118200000001,79.50460511042026,51677.99332177317,2019-04-09,2019-05-15
Mumbai,711.85,85,Large,2021-03-22,7,Milk,Mother Dairy,762.36,15.82,46,Frozen,395,Mumbai,Online,285,71,75,12060.5352,16.514070798251087,6523.057965309179,2021-03-21,2021-05-06
Kolkata,739.06,66,Small,2019-04-03,1,Milk,Mother Dairy,291.86,26.9,40,Ambient,785,Chennai,Wholesale,122,92,116,7851.034,26.29122344580762,20638.61040495898,2019-04-02,2019-05-12
Chennai,844.56,41,Small,2021-09-01,7,Cheese,LocalFarm,500.52,93.27,56,Ambient,210,Chennai,Wholesale,472,85,161,46683.5004,91.58346712665549,19232.528096597653,2021-08-28,2021-10-23
Bangalore,975.72,111,Medium,2022-08-02,6,Curd,LocalFarm,278.42,21.16,23,Cold,309,Kolkata,Wholesale,87,59,91,5891.367200000001,20.115706050457703,6215.75316959143,2022-07-31,2022-08-23
Kolkata,976.82,76,Large,2022-12-18,5,Curd,Mother Dairy,835.74,66.81,8,Frozen,882,Mumbai,Retail,24,57,156,55835.7894,65.46270077901772,57738.10208709363,2022-12-16,2022-12-24
Bangalore,112.01,66,Large,2019-04-29,1,Milk,Mother Dairy,960.38,80.44,15,Frozen,819,Kolkata,Retail,29,60,167,77252.9672,78.43607897341118,64239.14867922376,2019-04-28,2019-05-13
Kolkata,830.75,63,Medium,2019-01-29,8,Paneer,Nestle,102.27,30.82,7,Cold,647,Bangalore,Online,166,24,197,3151.9613999999997,30.517950870264755,19745.114213061297,2019-01-28,2019-02-04
Mumbai,663.99,25,Large,2021-10-09,10,Curd,LocalFarm,271.7,72.89,31,Cold,218,Chennai,Wholesale,491,83,162,19804.213,72.85822412960356,15883.092860253575,2021-10-05,2021-11-05
Chennai,664.98,71,Medium,2023-03-15,1,Cheese,Amul,230.08,15.9,51,Frozen,254,Chennai,Online,463,75,125,3658.2720000000004,16.170699401334442,4107.3576479389485,2023-03-11,2023-05-01
Kolkata,171.93,93,Large,2021-11-19,1,Milk,Amul,689.54,54.89,20,Ambient,249,Chennai,Wholesale,73,68,175,37848.8506,53.198776054866855,13246.495237661848,2021-11-18,2021-12-08
Delhi,667.68,105,Small,2021-05-21,3,Butter,Amul,457.24,40.1,48,Cold,245,Chennai,Wholesale,478,78,90,18335.324,40.326239573469365,9879.928695499995,2021-05-20,2021-07-07
Delhi,983.36,65,Medium,2022-10-21,8,Butter,Amul,483.45,68.12,22,Frozen,449,Chennai,Online,379,58,92,32932.614,69.67751519798233,31285.204323894068,2022-10-20,2022-11-11
Kolkata,916.23,32,Medium,2021-03-10,8,Curd,Mother Dairy,199.23,90.01,34,Cold,215,Bangalore,Online,394,99,118,17932.6923,87.68038017658746,18851.281737966303,2021-03-09,2021-04-12
Kolkata,467.17,26,Small,2022-03-07,7,Paneer,Mother Dairy,444.0,21.29,28,Ambient,486,Bangalore,Retail,72,74,34,9452.76,20.973229491371264,10192.989532806434,2022-03-05,2022-04-02
Kolkata,87.95,89,Medium,2020-04-19,5,Curd,Nestle,338.07,50.53,10,Frozen,460,Kolkata,Wholesale,419,94,128,17082.6771,49.03996437522483,22558.383612603422,2020-04-18,2020-04-28
Delhi,394.18,47,Small,2020-07-16,8,Paneer,Amul,630.63,48.09,51,Frozen,809,Delhi,Retail,111,97,50,30326.996700000003,46.219453195601616,37391.53763524171,2020-07-13,2020-09-02
Delhi,835.07,81,Large,2022-11-16,2,Curd,Mother Dairy,256.38,39.14,38,Frozen,176,Chennai,Retail,210,83,129,10034.7132,40.142782708225695,7065.129756647722,2022-11-15,2022-12-23
Kolkata,716.42,92,Small,2020-03-10,8,Butter,Mother Dairy,634.07,53.22,59,Ambient,501,Chennai,Retail,179,22,48,33745.2054,51.836618473391596,25970.14585516919,2020-03-09,2020-05-07
Bangalore,486.38,39,Small,2021-03-14,2,Paneer,Mother Dairy,408.86,89.27,16,Cold,373,Delhi,Retail,4,27,180,36498.9322,88.08778569179321,32856.74406303887,2021-03-12,2021-03-28
Bangalore,102.35,67,Medium,2022-06-11,10,Butter,Amul,378.98,97.63,46,Ambient,832,Kolkata,Wholesale,331,98,98,36999.8174,95.16666670036467,79178.66669470341,2022-06-09,2022-07-25
Mumbai,455.55,107,Large,2019-02-24,5,Cheese,Mother Dairy,340.28,10.26,27,Ambient,704,Bangalore,Wholesale,201,92,190,3491.2727999999997,9.79196410924557,6893.542732908881,2019-02-23,2019-03-22
Chennai,495.57,87,Small,2021-07-19,4,Cheese,LocalFarm,690.14,76.51,40,Ambient,854,Chennai,Retail,255,35,161,52802.6114,78.26200493340835,66835.75221313073,2021-07-18,2021-08-27
Bangalore,932.13,31,Large,2022-08-08,1,Milk,Amul,584.3,65.36,44,Frozen,552,Kolkata,Wholesale,141,45,64,38189.848,66.29680450018273,36595.83608410087,2022-08-05,2022-09-18
Delhi,659.03,117,Small,2021-01-21,5,Butter,Amul,859.14,99.51,19,Ambient,527,Delhi,Retail,403,51,88,85493.0214,99.27243074403987,52316.57100210901,2021-01-19,2021-02-07
Bangalore,346.07,26,Medium,2019-11-08,7,Butter,LocalFarm,279.53,18.09,55,Frozen,424,Bangalore,Online,19,27,71,5056.6977,18.40537366368897,7803.878433404123,2019-11-04,2019-12-29
Mumbai,549.05,24,Small,2023-04-21,1,Milk,Nestle,88.11,83.02,20,Frozen,719,Bangalore,Retail,427,79,156,7314.892199999999,85.8966421406235,61759.6856991083,2023-04-17,2023-05-07
Mumbai,112.75,57,Small,2022-01-17,2,Cheese,Nestle,222.92,94.05,49,Cold,816,Kolkata,Online,99,93,130,20965.625999999997,95.16413973140654,77653.93802082773,2022-01-15,2022-03-05
Chennai,973.94,41,Large,2022-05-20,9,Cheese,Amul,376.19,92.09,51,Cold,308,Mumbai,Retail,499,31,115,34643.337100000004,95.8360851388378,29517.51422276204,2022-05-16,2022-07-06
Bangalore,392.06,86,Small,2021-08-14,5,Paneer,Amul,220.67,60.45,18,Ambient,698,Mumbai,Retail,280,95,78,13339.5015,58.64553844819168,40934.585836837796,2021-08-13,2021-08-31
Delhi,503.97,94,Medium,2019-11-14,7,Paneer,Amul,129.34,39.48,19,Frozen,721,Mumbai,Wholesale,168,78,70,5106.343199999999,40.993495883308874,29556.3105318657,2019-11-13,2019-12-02
Delhi,387.52,49,Medium,2021-01-26,2,Cheese,LocalFarm,473.07,67.59,16,Frozen,109,Delhi,Online,365,78,106,31974.801300000003,67.87073386361324,7397.9099911338435,2021-01-22,2021-02-07
Kolkata,698.39,106,Small,2020-04-09,7,Curd,Mother Dairy,693.09,37.55,47,Cold,401,Mumbai,Wholesale,382,93,134,26025.5295,38.83280465575489,15571.954666957712,2020-04-06,2020-05-23
Delhi,679.12,66,Small,2022-01-15,7,Butter,LocalFarm,763.99,47.1,57,Frozen,320,Kolkata,Retail,324,53,78,35983.929000000004,48.24834293762855,15439.469740041135,2022-01-11,2022-03-09
Chennai,729.56,67,Large,2022-12-03,7,Paneer,Mother Dairy,428.79,50.12,39,Ambient,461,Bangalore,Online,232,49,100,21490.9548,47.90289098509115,22083.232744127017,2022-11-30,2023-01-08
Chennai,304.74,100,Large,2022-06-17,5,Curd,Mother Dairy,504.14,37.18,29,Frozen,521,Kolkata,Retail,90,63,113,18743.925199999998,38.4359246467455,20025.116740954403,2022-06-13,2022-07-12
Delhi,349.89,108,Medium,2020-11-30,9,Paneer,Nestle,767.7,40.76,18,Ambient,604,Kolkata,Online,257,57,93,31291.452,40.09678784769916,24218.459860010295,2020-11-27,2020-12-15
Delhi,168.99,25,Large,2021-12-16,2,Milk,LocalFarm,385.07,10.66,6,Cold,613,Chennai,Online,395,44,184,4104.8462,10.578062175646084,6484.352113671049,2021-12-13,2021-12-19
Kolkata,672.73,37,Small,2022-02-10,4,Butter,LocalFarm,795.53,36.74,22,Cold,404,Delhi,Retail,27,43,63,29227.7722,34.943687846178605,14117.249889856157,2022-02-07,2022-03-01
Delhi,87.81,107,Medium,2021-01-04,2,Paneer,Amul,969.01,52.51,39,Frozen,542,Bangalore,Retail,43,80,131,50882.715099999994,53.8685467412785,29196.752333772947,2021-01-03,2021-02-11
Kolkata,617.8,10,Large,2021-12-29,8,Cheese,LocalFarm,886.46,25.57,13,Frozen,521,Chennai,Wholesale,140,28,130,22666.7822,25.485509843016768,13277.950628211736,2021-12-25,2022-01-07
Kolkata,876.21,50,Medium,2021-01-08,1,Milk,Mother Dairy,480.92,82.5,15,Cold,268,Delhi,Wholesale,84,67,184,39675.9,86.12685106398455,23081.996085147857,2021-01-07,2021-01-22
Delhi,896.29,57,Small,2021-02-06,9,Milk,Mother Dairy,600.54,58.39,30,Ambient,691,Bangalore,Retail,298,71,36,35065.5306,57.11124700950954,39463.871683571095,2021-02-04,2021-03-06
Mumbai,476.59,40,Large,2023-09-12,5,Cheese,LocalFarm,730.61,81.45,7,Ambient,638,Chennai,Wholesale,310,89,152,59508.1845,81.41800463713494,51944.68695849209,2023-09-10,2023-09-17
Mumbai,486.34,45,Small,2022-04-22,3,Milk,Nestle,381.84,21.53,9,Ambient,110,Mumbai,Wholesale,391,83,52,8221.0152,21.3386733040689,2347.254063447579,2022-04-20,2022-04-29
Kolkata,123.12,117,Small,2023-09-23,4,Butter,Nestle,809.28,83.85,36,Cold,772,Kolkata,Retail,379,55,156,67858.128,86.29934244851373,66623.09237025259,2023-09-22,2023-10-28
Delhi,687.23,42,Medium,2021-01-13,1,Paneer,Amul,465.07,96.24,45,Cold,735,Mumbai,Online,319,39,159,44758.3368,96.58303342184908,70988.52956505907,2021-01-11,2021-02-25
Mumbai,830.2,42,Medium,2019-10-03,3,Milk,Amul,854.5,41.72,14,Cold,847,Bangalore,Retail,372,69,193,35649.74,41.552610730257,35195.06128852768,2019-10-01,2019-10-15
Delhi,282.42,112,Medium,2019-08-21,8,Butter,Mother Dairy,292.0,35.56,42,Frozen,413,Chennai,Wholesale,267,31,87,10383.52,37.148891044895684,15342.492001541917,2019-08-18,2019-09-29
Delhi,450.24,91,Large,2019-02-23,2,Cheese,LocalFarm,60.81,68.21,10,Cold,377,Chennai,Retail,296,26,40,4147.8501,67.37745136175529,25401.299163381744,2019-02-19,2019-03-01
Delhi,846.9,32,Large,2019-09-14,2,Paneer,Mother Dairy,651.05,67.23,15,Ambient,168,Chennai,Retail,43,59,36,43770.0915,67.16289778062865,11283.366827145614,2019-09-11,2019-09-26
Bangalore,883.26,69,Medium,2019-03-31,9,Cheese,Mother Dairy,479.29,20.12,21,Ambient,494,Kolkata,Online,10,61,95,9643.3148,20.22893136641815,9993.092095010565,2019-03-27,2019-04-17
Delhi,281.02,96,Large,2023-10-28,5,Paneer,LocalFarm,106.83,93.41,6,Cold,793,Chennai,Online,274,86,139,9978.9903,89.24265155062845,70769.42267964836,2023-10-26,2023-11-01
Bangalore,573.04,88,Large,2023-11-18,5,Milk,Mother Dairy,513.23,53.12,45,Cold,697,Delhi,Wholesale,380,69,60,27262.7776,53.26083262132227,37122.80033706162,2023-11-15,2023-12-30
Kolkata,232.87,99,Medium,2023-08-14,1,Milk,Mother Dairy,210.14,78.8,28,Ambient,647,Delhi,Wholesale,315,60,75,16559.032,77.50610390253232,50146.449224938406,2023-08-12,2023-09-09
Mumbai,146.78,39,Small,2022-12-29,6,Paneer,Nestle,648.26,42.34,54,Cold,461,Delhi,Wholesale,199,43,99,27447.328400000002,42.976144995497165,19812.002842924194,2022-12-26,2023-02-18
Mumbai,915.56,98,Large,2023-07-07,8,Butter,Amul,472.79,33.54,9,Frozen,27,Mumbai,Wholesale,410,88,82,15857.3766,34.02171742371034,918.5863704401793,2023-07-03,2023-07-12
Mumbai,829.48,54,Large,2020-02-12,6,Butter,Nestle,212.57,20.01,25,Cold,248,Bangalore,Wholesale,198,32,122,4253.5257,20.432808451706357,5067.336496023177,2020-02-11,2020-03-07
Mumbai,772.03,89,Small,2022-07-16,7,Butter,Amul,441.34,34.71,10,Ambient,89,Mumbai,Retail,468,53,97,15318.911399999999,34.359950608817954,3058.035604184798,2022-07-15,2022-07-25
Mumbai,96.33,48,Small,2023-08-20,4,Curd,Amul,271.07,99.41,8,Ambient,722,Mumbai,Retail,120,22,75,26947.0687,95.48119370088973,68937.42185204239,2023-08-19,2023-08-27
Mumbai,851.54,54,Small,2020-01-01,2,Butter,Amul,670.44,69.22,13,Cold,693,Kolkata,Wholesale,410,92,66,46407.8568,68.79881843857989,47677.58117793586,2019-12-30,2020-01-12
Mumbai,466.14,87,Medium,2019-12-17,1,Milk,Nestle,330.39,82.25,9,Ambient,708,Mumbai,Online,13,22,105,27174.5775,82.67923409435618,58536.897738804175,2019-12-15,2019-12-24
Kolkata,375.28,90,Small,2022-08-15,6,Curd,LocalFarm,830.92,96.27,8,Cold,59,Kolkata,Online,479,43,184,79992.6684,91.69573336837439,5410.048268734089,2022-08-13,2022-08-21
Delhi,569.15,21,Medium,2022-03-28,9,Butter,Mother Dairy,63.46,17.11,13,Ambient,873,Delhi,Wholesale,476,93,54,1085.8006,17.191038092631146,15007.77625486699,2022-03-25,2022-04-07
Chennai,136.79,102,Small,2020-05-01,10,Milk,LocalFarm,433.25,24.82,22,Ambient,48,Delhi,Retail,407,54,41,10753.265,24.570003844290408,1179.3601845259395,2020-04-29,2020-05-21
Bangalore,768.81,41,Small,2021-04-21,5,Curd,LocalFarm,636.23,93.52,47,Ambient,540,Mumbai,Online,63,39,46,59500.2296,93.31853368106741,50392.0081877764,2021-04-17,2021-06-03
Chennai,603.31,65,Medium,2021-09-10,2,Milk,Amul,71.48,60.81,20,Cold,296,Mumbai,Online,219,63,157,4346.6988,59.6140876967468,17645.76995823705,2021-09-08,2021-09-28
Chennai,227.26,33,Medium,2023-10-27,1,Paneer,Amul,255.05,67.14,6,Cold,307,Delhi,Online,151,95,124,17124.057,67.08722479764846,20595.778012878076,2023-10-26,2023-11-01
Delhi,228.82,22,Small,2023-03-30,3,Milk,Nestle,361.05,48.49,33,Cold,603,Chennai,Online,245,67,148,17507.3145,50.34154541191964,30355.951883387545,2023-03-28,2023-04-30
Delhi,225.04,29,Small,2022-10-10,4,Curd,Nestle,70.75,83.3,52,Frozen,202,Delhi,Retail,385,62,38,5893.474999999999,85.69778257370076,17310.952079887553,2022-10-06,2022-11-27
Delhi,104.15,88,Small,2020-09-12,7,Butter,Mother Dairy,569.36,56.55,55,Frozen,541,Chennai,Retail,435,95,147,32197.308,57.20622982887031,30948.570337418838,2020-09-09,2020-11-03
Mumbai,608.41,65,Large,2021-07-18,9,Curd,LocalFarm,649.32,84.35,46,Frozen,708,Delhi,Online,94,87,58,54770.142,85.41767788931865,60475.71594563761,2021-07-14,2021-08-29
Kolkata,848.33,62,Small,2020-02-05,8,Butter,LocalFarm,266.15,99.3,40,Ambient,618,Bangalore,Retail,267,91,146,26428.694999999996,103.22622642569628,63793.8079310803,2020-02-01,2020-03-12
Mumbai,66.62,77,Medium,2022-11-29,9,Butter,Mother Dairy,566.31,68.21,16,Ambient,103,Kolkata,Retail,192,90,157,38628.005099999995,68.0715076252744,7011.365285403264,2022-11-28,2022-12-14
Kolkata,96.55,63,Large,2022-01-24,7,Cheese,Amul,999.17,57.59,45,Cold,416,Kolkata,Wholesale,443,74,182,57542.200300000004,57.816597530462474,24051.704572672388,2022-01-23,2022-03-09
Kolkata,594.13,43,Medium,2023-09-27,10,Paneer,Nestle,892.57,42.86,49,Ambient,105,Bangalore,Wholesale,57,45,172,38255.550200000005,44.40372532481605,4662.391159105686,2023-09-23,2023-11-11
Chennai,828.52,37,Large,2020-07-23,8,Cheese,Mother Dairy,105.73,27.52,41,Frozen,316,Chennai,Wholesale,468,50,166,2909.6896,28.220981897617644,8917.830279647176,2020-07-20,2020-08-30
Chennai,360.4,59,Large,2021-09-01,8,Curd,LocalFarm,171.49,69.1,38,Frozen,738,Mumbai,Wholesale,476,73,170,11849.958999999999,68.63745259658582,50654.440016280336,2021-08-30,2021-10-07
Kolkata,382.13,11,Medium,2020-01-27,1,Cheese,Mother Dairy,519.68,15.64,39,Cold,306,Mumbai,Online,93,75,76,8127.7952,15.335430263637377,4692.641660673037,2020-01-26,2020-03-05
Kolkata,616.53,103,Large,2019-12-18,9,Butter,Mother Dairy,282.94,96.07,44,Ambient,128,Kolkata,Wholesale,297,75,160,27182.045799999996,96.24118415852499,12318.871572291198,2019-12-14,2020-01-27
Mumbai,310.5,35,Medium,2021-03-16,2,Curd,LocalFarm,126.92,68.28,10,Ambient,563,Mumbai,Wholesale,0,72,151,8666.097600000001,65.68953315879149,36983.20716839961,2021-03-15,2021-03-25
